external_id,question_text,choice_0,choice_1,choice_2,choice_3,correct_index,explanation,type,difficulty,tone,tags,usage_note
TP0001,"A: Do you want some more coffee? B: No thanks, ___.",I'm bad.,I'm good.,I'm nice.,I'm well.,1,何かを丁寧に断る時に使われる。,indirect,easy,casual,"Communication, Social",アメリカ英語で非常に一般的
TP0002,"A: We need to discuss the project status. B: Sure, let's ___ next week.",touch screen,touch base,touch down,touch wood,1,簡潔に連絡を取る、または最新情報を伝えるという意味のビジネス用語。,workplace,medium,professional,Work,オフィス環境でよく使われます
TP0003,"A: Do you want to grab pizza tonight? B: Yeah, ___.",I'm out.,I'm under.,I'm down.,I'm off.,2,計画や活動に参加することに同意することを意味する。,slang,easy,casual,"Social, Action",若い世代の間で非常に一般的
TP0004,"A: We lost the game because of the rain. B: Well, ___.",it is what it is,it is what it was,it was what it is,it is not what it is,0,変えられない悪い状況を受け入れることを表現する時に使われる。,idiom,medium,casual,Emotion,使いすぎると冷淡に聞こえることがあります
TP0005,"A: I'm so sorry for being late! B: ___, take your time.",No problems.,No worries.,No cares.,No troubles.,1,「ごめんなさい」や「ありがとう」に対する一般的な返答。,casual,easy,friendly,"Social, Emotion",現代のカジュアルな会話では「どういたしまして」の代わりに使われます
TP0006,A: How are things with that guy you were dating? B: He completely ___ me.,monstered,zombied,ghosted,vampired,2,説明なしにすべての連絡を絶つこと。,dating,medium,casual,"Social, Communication",恋愛の文脈でよく使われます
TP0007,"A: He was late because he overslept again. B: Yeah, ___.",that tracks,that trains,that cars,that buses,0,何かが論理的に筋が通っている、または期待通りであることを意味する。,slang,medium,casual,"Social, Learning",状況を説明する何かを知ったときに使われます
TP0008,A: I'll text you when I get there. B: ___.,Gamble.,Bet.,Risk.,Wager.,1,同意や確認を示すために使われるスラング。,slang,medium,casual,"Social, Communication",Z世代のスラングとして非常に一般的
TP0009,"A: I'm so exhausted from work today. B: Man, ___.",I touch you.,I feel you.,I sense you.,I hold you.,1,誰かの気持ちや状況を理解していることを意味する。,casual,easy,friendly,"Emotion, Communication",共感を示すために使われます
TP0010,"A: I think I'm going to quit my job and travel. B: Well, ___.",you do me,you do it,you do you,you do them,2,誰かが最善だと思うことをすべきだという意味で、少し苛立ちを伴うこともある。,indirect,medium,passive_aggressive,Communication,言い方によって、応援にも嫌味にもなります
TP0011,"A: ...and that's the whole story. B: Wow. Anyway, I know you're busy, so ___.",I'll let you come,I'll let you stay,I'll let you go,I'll let you be,2,電話や会話を終わらせる丁寧な方法。,indirect,medium,polite,"Social, Communication",失礼にならずに会話を切り上げる非常に一般的な方法
TP0012,"A: I can't help you move because I hurt my back. B: Ah, ___.",fair play,fair game,fair enough,fair well,2,誰かの意見を認めたり、説明を受け入れたりする時に使われる。,casual,easy,casual,Social,完全に同意していなくても、相手の視点を理解していることを示します
TP0013,"A: I'm free this weekend. B: Cool, ___ later.",punch me up,hit me up,strike me up,beat me up,1,「連絡して」という意味のスラング。,texting,easy,casual,"Social, Time",テキストメッセージで非常に一般的
TP0014,"A: I heard something crazy about Sarah. B: Omg, ___!",drop the coffee,spill the tea,pour the milk,drink the water,1,噂話や興味深いニュースを共有することを意味する。,slang,medium,casual,Social,ドラァグカルチャー発祥で、今は一般的に使われています
TP0015,A: Are you excited for the party? B: I ___ just want to stay home.,high-key,mid-key,low-key,no-key,2,控えめに、または密かに何かを感じていることを表現する時に使われる。,slang,medium,casual,Emotion,例：「密かに帰りたいと思っている（I low-key want to leave.）」
TP0016,"A: Do you want to get dinner tonight? B: I'm busy, can I ___?",take a snow check,take a wind check,take a rain check,take a sun check,2,後日を提案しつつ、招待を丁寧に断ること。,idiom,medium,polite,"Time, Communication",予定を延期するための非常に標準的なアメリカのフレーズ
TP0017,"A: You stepped on my shoe! B: Oops, ___.",my evil,my bad,my worse,my worst,1,自分の非を認めたり、謝罪したりするカジュアルな方法。,casual,easy,casual,"Social, Action",深刻な違反ではなく、ちょっとしたミスに使われます
TP0018,A: We don't have a solution for this yet. B: Let's ___ to it next week.,square back,circle back,triangle back,line back,1,後で何かについて話し合うことを意味するビジネス用語。,workplace,medium,professional,Work,会議で決定を先延ばしにする時によく使われます
TP0019,"A: Why is everyone so quiet? B: Dude, you need to ___.",read the book,read the text,read the room,read the air,2,周りの人々の感情や態度に注意を払うこと。,idiom,hard,casual,Social,誰かが不適切な冗談を言った時に使われることが多い
TP0020,"A: Can you help me with this report? B: Sorry, ___ right now.",I'm flooded.,I'm swamped.,I'm drowned.,I'm soaked.,1,仕事ややることが多すぎることを意味する。,workplace,easy,casual,Work,タスクに圧倒されていることを伝える非常に一般的な方法
TP0021,A: Where is John? B: He decided to ___ early.,jail,fail,bail,sail,2,直前になって予定をキャンセルしたり、場所を早く離れたりすること。,slang,medium,casual,"Time, Travel",例：「彼は昨晩ドタキャンした（He bailed on me last night.）」
TP0022,"A: Did you hear about the company merger? B: No, I've been completely ___.",out of the circle,out of the loop,out of the ring,out of the round,1,特定のグループが持っている知識を持っていないこと。,idiom,medium,casual,"Learning, Social",オフィスや友人グループでよく使われます
TP0023,"A: His performance was terrible today. B: Yeah, he was definitely ___.",texting it in,phoning it in,calling it in,emailing it in,1,怠惰に、または熱意なしにタスクを行うこと。,idiom,hard,casual,Work,誰かが明らかにベストを尽くしていない時に使われます
TP0024,"A: I have to go to class. B: Alright, ___.",catch you earlier,catch you tomorrow,catch you later,catch you soon,2,カジュアルな別れの挨拶。,casual,easy,friendly,Social,非常に標準的なカジュアルな別れの言葉
TP0025,A: Are you going to buy that car? B: I'm still ___ about it.,on the wall,on the fence,on the roof,on the gate,1,2つの選択肢の間で選べない状態。,idiom,medium,casual,Action,メリットとデメリットを天秤にかけている時によく使われます
TP0026,A: What time are we meeting on Saturday? B: Let's just ___.,play it by eye,play it by nose,play it by ear,play it by mouth,2,厳密な計画を立てず、成り行きを見守ること。,idiom,medium,casual,Action,週末の予定などで非常に一般的
TP0027,A: He lost the game and didn't shake hands. B: He's just being ___.,sweet,salty,sour,spicy,1,通常は些細なことでイライラしたり、怒ったり、すねたりすること。,slang,medium,casual,Emotion,例：「彼は負けたからすねているだけだ（He's just salty because he lost.）」
TP0028,"A: I accidentally sent that message to my boss. B: Oh wow, ___.",big yikes,large yikes,huge yikes,giant yikes,0,強い共感性羞恥やショックを表現する時に使われる。,slang,easy,casual,Emotion,インターネットカルチャーで広まりました
TP0029,"A: Did she reply to your text? B: No, I got ___.",left on seen,left on unread,left on read,left on open,2,誰かがあなたのメッセージを読んだのに、無視して返信しないこと。,texting,medium,casual,Communication,現代の恋愛や友情において失礼だと見なされます
TP0030,"A: I really like her, but I'm too nervous to talk to her. B: Come on, just ___!",fire your gun,throw your ball,shoot your shot,kick your kick,2,勇気を出して何かを試みること、通常は誰かをデートに誘うこと。,dating,medium,flirty,Emotion,バスケットボールの用語に由来します
TP0031,"A: How was the movie? B: ___, it was pretty boring.",Not gonna tell,Not gonna say,Not gonna lie,Not gonna speak,2,何かを認めたり、正直な意見を言ったりする前に使われるつなぎ言葉。,casual,easy,casual,Communication,テキストではよくNGLと略されます
TP0032,A: What do you think of my new outfit? B: ___ 90s pop star.,It's taking...,It's getting...,It's giving...,It's making...,2,何かの美学や雰囲気を表現する時に使われる。,slang,hard,casual,Description,例：「90年代のノスタルジーを感じる（It's giving 90s nostalgia.）」
TP0033,"A: She won't tell me where she bought that dress. B: Ugh, I hate when people are ___.",doorlocking,gatekeeping,wallbuilding,fenceholding,1,他の人が楽しめないように情報（クールなブランドやバンドなど）を隠すこと。,slang,medium,casual,Social,ソーシャルメディアでよく使われます
TP0034,"A: Look at this hilarious meme! B: LMAO, ___!",I'm alive.,I'm dying.,I'm dead.,I'm killed.,2,非常に面白いことに反応する時に使われる。,texting,easy,casual,Social,「dying of laughter（笑い死にしそう）」と似ています
TP0035,"A: Did you see her response to the haters? B: Yeah, that was a great ___.",punch back,clap back,slap back,kick back,1,批判に対する機知に富んだ、または強力な言い返し。,slang,medium,sarcastic,Social,有名人のゴシップの文脈でよく使われます
TP0036,A: He's been arguing on Twitter for 12 hours. B: He really needs to ___.,touch dirt,touch leaves,touch trees,touch grass,3,インターネット上のドラマに夢中になりすぎている人への侮辱。,slang,hard,rude,"Social, Technology",誰かが現実離れした行動をとっている時に使われます
TP0037,A: I can't stop singing that commercial jingle. B: It's living in your head ___.,tax-free,rent-free,toll-free,fee-free,1,アイデア、人、または記憶が頭から離れない時。,slang,medium,casual,"Emotion, Learning",例：「あの曲が頭から離れない（That song lives in my head rent-free.）」
TP0038,A: Why did you throw a pillow at him? B: Just a ___.,mood check,energy check,vibe check,aura check,2,誰かの態度や場所の雰囲気を評価すること。,slang,easy,casual,"Description, Emotion",何か驚くようなことをする前のジョークとして使われることもあります
TP0039,"A: If he keeps insulting me, he's going to ___.",catch feet,catch arms,catch hands,catch legs,2,殴り合いの喧嘩をすること。,slang,hard,rude,Social,攻撃的なスラングで、今は主に冗談で使われます
TP0040,"A: I just won a thousand dollars! B: Really? A: Yeah, ___.",no hat,no cap,no hood,no helmet,1,「嘘ではない」または「本当のことを言っている」という意味。,slang,medium,casual,Communication,ヒップホップカルチャーに由来します
TP0041,"A: Where is the attachment? B: ___, it's in the previous thread.",For my last email,By my last email,Per my last email,To my last email,2,既に送信された情報を誰かが見落としていることを、丁寧だがきっぱりと指摘する方法。,workplace,medium,passive_aggressive,"Work, Emotion",ビジネスにおける究極の嫌味なフレーズ
TP0042,"A: We are getting off topic. B: Agreed, ___ for now.",let's put a pin in it,let's put a needle in it,let's put a nail in it,let's put a tack in it,0,会話を引き延ばすために使われるビジネスの慣用句。,workplace,medium,professional,Work,会議中に話が脱線するのを止めるために使われます
TP0043,"A: Did she just compliment my hair but insult my dress? B: Yeah, she was definitely ___.",throwing shadows,throwing shade,throwing dark,throwing black,1,嫌味な、または間接的な侮辱をすること。,slang,medium,sarcastic,Social,侮辱の「さりげなさ」がポイントです
TP0044,A: He just bought another Rolex. B: That's a huge ___.,stretch,bend,flex,pose,2,自分の富、スキル、または業績を見せびらかすこと。,slang,easy,casual,Social,"例：「変な自慢だけど、まあいいや（Weird flex, but okay.）」"
TP0045,A: He bought her a car even though they aren't dating. B: What a ___.,wimp,simp,chimp,blimp,1,恋愛対象からの関心を引くために過度に服従的な人（通常は男性）に対する軽蔑的な言葉。,slang,medium,rude,"Emotion, Social",インターネットカルチャーで多用されます
TP0046,A: How did I do on the presentation? B: You completely ___ed it!,kill,slay,murder,destroy,1,見事に成功する、または信じられないほどよく見えること。,slang,easy,friendly,Social,ボールルームカルチャー発祥で、今は主流の褒め言葉
TP0047,"A: It's getting late. B: Yeah, ___.",I'm about to head out,I'm about to hand out,I'm about to arm out,I'm about to leg out,0,集まりから帰る時のカジュアルな宣言。,casual,easy,casual,"Travel, Social",膝を叩いて立ち上がる動作を伴うことが多い
TP0048,"A: I'll start working on the design. B: Great, please ___.",keep me in the circle,keep me in the loop,keep me in the ring,keep me in the round,1,プロジェクトや状況の最新情報を求めること。,workplace,easy,professional,"Communication, Work",プロフェッショナルな環境で非常に一般的
TP0049,A: Why isn't Sarah at work today? B: She's feeling a bit ___.,under the clouds,under the rain,under the storm,under the weather,3,風邪をひいたような、少し体調が悪い感じ。,idiom,easy,casual,Health,詳細を言わずに体調不良を伝える丁寧な方法
TP0050,A: This traffic is awful! B: ___.,You're telling me,You're saying me,You're speaking me,You're talking me,0,「分かっている」または「自分も経験したから完全に同意する」という意味。,casual,medium,casual,"Social, Emotion",よくあるイライラを共有した時などに、強い同意を示すために使われます
TP0051,A: We have a lot to cover today. B: Let's ___.,cut to the cheese,cut to the chase,cut to the chance,cut to the chat,1,雑談を省いて重要な部分に入ることを意味する。,idiom,medium,casual,Work,ビジネス会議などで非常によく使われます
TP0052,A: The bill is $100. B: Let's ___.,go French,go German,go Dutch,go Spanish,2,食事や費用の自分の分を支払うこと。,idiom,easy,casual,"Food, Money",友人同士の食事でよく使われます
TP0053,"A: I'm so nervous about the interview! B: Hey, ___.",take a chill pill,take a cool pill,take a cold pill,take a freeze pill,0,パニックになっている人を落ち着かせるために使われるスラング。,slang,medium,casual,Emotion,少し古いスラングですが、今でもよく使われます
TP0054,A: How did he know about the surprise party? B: Someone must have ___.,let the dog out of the bag,let the bird out of the bag,let the cat out of the bag,let the fish out of the bag,2,誤って秘密を漏らすこと。,idiom,medium,casual,"Description, Action",日常会話で非常によく使われるイディオムです
